state,variety,Month,Year,Actual Price,Predicted Prices
Gujarat,Bunny,01,2021,5028.260869565217,5029.539970284045
Gujarat,Bunny,02,2021,5104.545454545455,5109.551549859455
Gujarat,Bunny,03,2021,5284.615384615385,5279.391647415084
Gujarat,Bunny,04,2021,5250.0,5662.473845858604
Gujarat,Bunny,05,2021,5125.0,5186.526284722222
Gujarat,Bunny,06,2021,5150.0,5803.362604929792
Gujarat,Bunny,07,2021,5025.0,5704.1828062603245
Gujarat,Cotton (Unginned),01,2021,5536.271186440678,5438.360739622991
Gujarat,Cotton (Unginned),02,2021,5571.796875,5585.718139997321
Gujarat,Cotton (Unginned),03,2021,5794.054054054054,5779.37525809496
Gujarat,Cotton (Unginned),04,2021,5925.0,5781.441798986542
Gujarat,H.B  (Ginned),01,2021,5163.684210526316,5131.226886660054
Gujarat,H.B  (Ginned),02,2021,5231.25,5287.1889013764
Gujarat,H.B  (Ginned),03,2021,5512.5,5527.287159888723
Gujarat,H.B  (Ginned),04,2021,5578.571428571428,5570.923239087301
Gujarat,H.B (Unginned),01,2021,5589.883720930233,5575.179451234109
Gujarat,H.B (Unginned),02,2021,5671.216216216216,5664.8767522987455
Gujarat,H.B (Unginned),03,2021,5963.695652173913,5939.555925628197
Gujarat,H.B (Unginned),04,2021,6299.444444444444,6290.765795096448
Gujarat,H.Y.4 (Unginned),01,2021,5593.739130434783,5564.897784030772
Gujarat,H.Y.4 (Unginned),02,2021,5796.869565217391,5778.903982364409
Gujarat,H.Y.4 (Unginned),03,2021,6055.384615384615,6035.628989708208
Gujarat,H.Y.4 (Unginned),04,2021,6223.0,6457.6774576294865
Gujarat,Local,01,2021,5194.804878048781,5241.937855015435
Gujarat,Local,02,2021,5538.675675675676,5497.873555982076
Gujarat,Local,03,2021,5920.660714285715,5744.432041845627
Gujarat,Local,04,2021,5822.933333333333,5862.955476190478
Gujarat,Local,06,2021,5823.5526315789475,5852.709405862253
Gujarat,Local,07,2021,5922.0,5789.315163740404
Gujarat,Narma BT Cotton,01,2021,5390.479166666667,5398.81304196098
Gujarat,Narma BT Cotton,02,2021,5476.35294117647,5564.9289747135235
Gujarat,Narma BT Cotton,03,2021,5918.378378378378,5931.256783080327
Gujarat,Narma BT Cotton,04,2021,6094.764705882353,6011.9655940307985
Gujarat,Narma BT Cotton,05,2021,6488.153846153846,6525.107912885725
Gujarat,Narma BT Cotton,06,2021,6705.96,6492.751044459013
Gujarat,Narma BT Cotton,07,2021,6822.611111111111,6344.314813537157
Gujarat,Other,01,2021,5329.9953271028035,5340.505763877656
Gujarat,Other,02,2021,5478.298128342246,5470.470442799912
Gujarat,Other,03,2021,5596.941605839416,5615.320799527404
Gujarat,Other,04,2021,5478.814814814815,5455.683655728884
Gujarat,Other,05,2021,5848.5641025641025,5884.302514961818
Gujarat,Other,06,2021,5957.371951219512,5827.498013412201
Gujarat,Other,07,2021,5882.9655172413795,5625.721903578586
Gujarat,RCH-2,01,2021,5500.9375,5510.644751346745
Gujarat,RCH-2,02,2021,5660.409090909091,5631.216165714063
Gujarat,RCH-2,03,2021,5756.261904761905,5765.3795683118515
Gujarat,Shanker 4 31mm FIne,01,2021,5754.62962962963,5735.5301055849195
Gujarat,Shanker 4 31mm FIne,02,2021,5836.847826086957,5890.770290457622
Gujarat,Shanker 4 31mm FIne,03,2021,6079.090909090909,6091.388114780454
Gujarat,Shanker 4 31mm FIne,04,2021,6315.833333333333,6101.867782738095
Gujarat,Shanker 6 (B) 30mm FIne,01,2021,5341.786885245901,5339.875578670303
Gujarat,Shanker 6 (B) 30mm FIne,02,2021,5568.599137931034,5578.304919518132
Gujarat,Shanker 6 (B) 30mm FIne,03,2021,5866.319248826291,5877.0210270850885
Gujarat,Shanker 6 (B) 30mm FIne,04,2021,5800.51282051282,5832.006198476285
Gujarat,Shanker 6 (B) 30mm FIne,05,2021,6175.666666666667,6245.980521361811
Gujarat,Shanker 6 (B) 30mm FIne,06,2021,6793.818181818182,6346.5304038669665
Gujarat,Shanker 6 (B) 30mm FIne,07,2021,6825.333333333333,6194.334528415337
Haryana,American,03,2021,5937.347826086957,5944.02290040353
Haryana,American,04,2021,6100.0,6077.088835458494
Haryana,American,06,2021,7000.0,5859.2017934261075
Karnataka,F-1054,01,2021,5138.636363636364,5118.049647568293
Karnataka,F-1054,02,2021,5445.217391304348,5422.468474735197
Karnataka,F-1054,03,2021,5481.739130434783,5463.065815729611
Karnataka,F-1054,04,2021,6000.0,5978.335576736216
Karnataka,GCH,01,2021,5430.089655172414,5447.955974962447
Karnataka,GCH,02,2021,5670.902255639097,5670.555245585843
Karnataka,GCH,03,2021,5462.963503649635,5479.100386388431
Karnataka,GCH,04,2021,5295.328125,5316.11448990422
Karnataka,GCH,05,2021,5036.136363636364,5039.137048640568
Karnataka,GCH,06,2021,5528.139534883721,5546.630362187263
Karnataka,GCH,07,2021,6602.0,5395.429540330742
Karnataka,H-4(A) 27mm FIne,01,2021,5413.333333333333,5484.766938200688
Karnataka,H-4(A) 27mm FIne,02,2021,5467.8,5465.016794733046
Karnataka,H-4(A) 27mm FIne,03,2021,5295.666666666667,5470.370593146194
Karnataka,Jayadhar,03,2021,5172.0,5144.943705357142
Karnataka,Jayadhar,04,2021,5554.444444444444,5547.889103951604
Karnataka,Jayadhar,05,2021,5458.0,5318.7772467310915
Karnataka,Jayadhar,06,2021,5350.0,5508.630376109612
Karnataka,Jayadhar,07,2021,5812.0,5555.652542776281
Karnataka,Jayadhar 23mm-FIne,03,2021,5634.5,5537.760163690476
